r_bend,p99_springback_mm,max_springback_mm,feasible,campaign_runtime_s
8.391356783919598,2.8665756971163963,2.9218533804277524,False,0.06362529302714393
8.421708542713567,2.8763014995455523,2.9317787127893125,False,0.05497327697230503
8.452060301507537,2.8860272627142067,2.9417040034720676,False,0.041240530961658806
8.482412060301506,2.8957529864895735,2.951629252334864,False,0.04097019898472354
8.512763819095477,2.905478670738844,2.9615544592365373,False,0.04075771901989356
8.543115577889447,2.915204315329188,2.9714796240359442,False,0.04118825902696699
8.573467336683418,2.92492992012784,2.9814047465919202,False,0.04127263597911224
8.603819095477387,2.934655485001959,2.9913298267632893,False,0.04357632400933653
8.634170854271357,2.9443810098187586,3.0012548644089088,False,0.04336958599742502
8.664522613065326,2.9541100386346884,3.011179859387625,False,0.04217038000933826
8.694874371859296,2.963839633240393,3.021104811558273,False,0.04328182397875935
8.725226130653265,2.9735691873557197,3.0310297207796877,False,0.04053517302963883
8.755577889447235,2.9832987008476946,3.0409545869107157,False,0.04163220996269956
8.785929648241206,2.993028173583311,3.0508794098102032,False,0.04070032702293247
8.816281407035175,3.002757605429629,3.0608041893369964,False,0.04110577900428325
8.846633165829147,3.0124869962536414,3.070728925349908,False,0.0523947820183821
8.876984924623116,3.0222163459223865,3.080653617707807,False,0.05426802596775815
8.907336683417086,3.031945654302891,3.090578266269528,False,0.04348957003094256
8.937688442211055,3.0416749212621697,3.1005028708939064,False,0.04702034796355292
8.968040201005024,3.0514041466672497,3.1104274314397884,False,0.04139109997777268
8.998391959798994,3.061133330385158,3.12035194776602,False,0.040249862999189645
9.028743718592963,3.0708624722829203,3.130276419731426,False,0.04013032402144745
9.059095477386935,3.0805915722275414,3.140200847194874,False,0.03993667400209233
9.089447236180904,3.0903206300860706,3.150125230015177,False,0.04003488598391414
9.119798994974875,3.1000496457255227,3.160049568051193,False,0.04015418898779899
9.150150753768845,3.1097786190129137,3.1699738611617567,False,0.040066048968583345
9.180502512562814,3.1195075470773412,3.1798981092057255,False,0.041461098997388035
9.210854271356784,3.1292363767792466,3.1898223120419122,False,0.043762610002886504
9.241206030150753,3.1389651637306746,3.1997464695291744,False,0.043731767043937
9.271557788944722,3.1487001045573355,3.209670581526358,False,0.04261219501495361
9.301909547738692,3.1584354607860967,3.2195946478922988,False,0.04211310896789655
9.332261306532663,3.1681707738062137,3.2295186684858423,False,0.0412858150084503
9.362613065326633,3.177906043484485,3.239442643165813,False,0.04040573298698291
9.392964824120604,3.1876412696876315,3.249366571791079,False,0.04092830896843225
9.423316582914573,3.1973764522824073,3.259290454220465,False,0.040823387971613556
9.453668341708543,3.207111591135567,3.269214290312805,False,0.041084230004344136
9.484020100502512,3.2168466861138754,3.2791380799269576,False,0.04119689401704818
9.514371859296482,3.226581737084076,3.289061822921757,False,0.040815303043928
9.544723618090451,3.2363167439129334,3.298985519156039,False,0.04135314596351236
9.57507537688442,3.2460517064671697,3.3089091684886496,False,0.04119529598392546
9.605427135678392,3.2557866246135716,3.318832770778446,False,0.04114980698795989
9.635778894472361,3.2655214982188823,3.32875632588423,False,0.040785088960547
9.666130653266332,3.275256327149845,3.3386798336648815,False,0.040130849985871464
9.696482412060302,3.2849911112732144,3.3486032939792243,False,0.04094215796794742
9.726834170854271,3.2947258504557553,3.3585267066861046,False,0.04105751897441223
9.75718592964824,3.304460544564222,3.368450071644369,False,0.041861423989757895
9.78753768844221,3.314195193465346,3.3783733887128298,False,0.04101996903773397
9.81788944723618,3.3239297970258934,3.388296657750367,False,0.04039588995510712
9.84824120603015,3.3336643551126293,3.3982198786157936,False,0.04081663000397384
9.87859296482412,3.343393245595959,3.4081430511679778,False,0.04050792701309547
9.90894472361809,3.353120104246941,3.4180661752657326,False,0.049239562009461224
9.939296482412061,3.3628469170962156,3.4279892507679155,False,0.042653605982195586
9.96964824120603,3.3725736840108524,3.4379122775333726,False,0.04167401901213452
10.0,3.3823004048578995,3.447835255420939,False,0.04101532098138705
